"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","ordered","1024","-1","mergeSort","62","5.44101E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","-1","summary","62","0.0170932","64415064","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","0","mergeSort","62","6.84399E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","0","radixSort","62","8.697E-4","574408","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","0","scoresAndScatter","62","0.0019274","2485992","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","0","mergeRank","62","0.003169899","3510232","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","0","radixRank","62","0.002848099","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
"0","row","ordered","1024","0","summary","62","0.017733499","64415064","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","1","mergeSort","62","5.63199E-4","509928","2726b4528192693660143c265d1fa90e4c62ab5e5c7d996f2db929b628e9a452"
"0","row","ordered","1024","1","summary","62","0.017315801","64415064","27a11771005018724e3d72b3c3df71c4b992191d74a2e54e29813d6ca7cf93a2"
"0","row","ordered","1024","1","radixRank","62","0.003078499","3574712","bf8faafa580b3f2facfb0e236867570b3f70cce3cdb8137d8d39820f10e36a3e"
